"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2016"	"2016"	Suppressed	55416	Suppressed
	"Autauga County, AL"	"01001"	"2017"	"2017"	Suppressed	55504	Suppressed
	"Autauga County, AL"	"01001"	"2018"	"2018"	Suppressed	55601	Suppressed
	"Autauga County, AL"	"01001"	"2019"	"2019"	Suppressed	55869	Suppressed
	"Autauga County, AL"	"01001"	"2020 "	"2020"	Suppressed	56145	Suppressed
	"Baldwin County, AL"	"01003"	"2016"	"2016"	15	208563	Unreliable
	"Baldwin County, AL"	"01003"	"2017"	"2017"	15	212628	Unreliable
	"Baldwin County, AL"	"01003"	"2018"	"2018"	Suppressed	218022	Suppressed
	"Baldwin County, AL"	"01003"	"2019"	"2019"	Suppressed	223234	Suppressed
	"Baldwin County, AL"	"01003"	"2020 "	"2020"	12	229287	Unreliable
	"Barbour County, AL"	"01005"	"2016"	"2016"	Suppressed	25965	Suppressed
	"Barbour County, AL"	"01005"	"2017"	"2017"	Suppressed	25270	Suppressed
	"Barbour County, AL"	"01005"	"2018"	"2018"	Suppressed	24881	Suppressed
	"Barbour County, AL"	"01005"	"2019"	"2019"	Suppressed	24686	Suppressed
	"Barbour County, AL"	"01005"	"2020 "	"2020"	Suppressed	24589	Suppressed
	"Bibb County, AL"	"01007"	"2016"	"2016"	Suppressed	22643	Suppressed
	"Bibb County, AL"	"01007"	"2017"	"2017"	Suppressed	22668	Suppressed
	"Bibb County, AL"	"01007"	"2018"	"2018"	Suppressed	22400	Suppressed
	"Bibb County, AL"	"01007"	"2019"	"2019"	Suppressed	22394	Suppressed
	"Bibb County, AL"	"01007"	"2020 "	"2020"	Suppressed	22136	Suppressed
	"Blount County, AL"	"01009"	"2016"	"2016"	Suppressed	57704	Suppressed
	"Blount County, AL"	"01009"	"2017"	"2017"	Suppressed	58013	Suppressed
	"Blount County, AL"	"01009"	"2018"	"2018"	Suppressed	57840	Suppressed
	"Blount County, AL"	"01009"	"2019"	"2019"	Suppressed	57826	Suppressed
	"Blount County, AL"	"01009"	"2020 "	"2020"	Suppressed	57879	Suppressed
	"Bullock County, AL"	"01011"	"2016"	"2016"	Suppressed	10362	Suppressed
