"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	52	278535	18.7
	"Baldwin County, AL"	"01003"	214	1091734	19.6
	"Barbour County, AL"	"01005"	20	125391	16.0
	"Bibb County, AL"	"01007"	18	112241	Unreliable
	"Blount County, AL"	"01009"	61	289262	21.1
	"Bullock County, AL"	"01011"	Suppressed	50886	Suppressed
	"Butler County, AL"	"01013"	13	98455	Unreliable
	"Calhoun County, AL"	"01015"	126	570690	22.1
	"Chambers County, AL"	"01017"	45	167290	26.9
	"Cherokee County, AL"	"01019"	30	130104	23.1
	"Chilton County, AL"	"01021"	31	220986	14.0
	"Choctaw County, AL"	"01023"	Suppressed	63786	Suppressed
	"Clarke County, AL"	"01025"	24	119308	20.1
	"Clay County, AL"	"01027"	16	66481	Unreliable
	"Cleburne County, AL"	"01029"	13	74688	Unreliable
	"Coffee County, AL"	"01031"	39	260581	15.0
	"Colbert County, AL"	"01033"	53	274130	19.3
	"Conecuh County, AL"	"01035"	Suppressed	61059	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	53363	Suppressed
	"Covington County, AL"	"01039"	36	185515	19.4
	"Crenshaw County, AL"	"01041"	Suppressed	69061	Suppressed
	"Cullman County, AL"	"01043"	92	416951	22.1
	"Dale County, AL"	"01045"	50	245539	20.4
	"Dallas County, AL"	"01047"	25	190827	13.1
	"DeKalb County, AL"	"01049"	83	357073	23.2
	"Elmore County, AL"	"01051"	88	408730	21.5
	"Escambia County, AL"	"01053"	43	184837	23.3
	"Etowah County, AL"	"01055"	99	512459	19.3
	"Fayette County, AL"	"01057"	21	81990	25.6
	"Franklin County, AL"	"01059"	22	157355	14.0
	"Geneva County, AL"	"01061"	22	132031	16.7
	"Greene County, AL"	"01063"	Suppressed	41086	Suppressed
	"Hale County, AL"	"01065"	11	73811	Unreliable
	"Henry County, AL"	"01067"	16	85948	Unreliable
	"Houston County, AL"	"01069"	81	525586	15.4
	"Jackson County, AL"	"01071"	60	258991	23.2
	"Jefferson County, AL"	"01073"	462	3291933	14.0
	"Lamar County, AL"	"01075"	Suppressed	69277	Suppressed
	"Lauderdale County, AL"	"01077"	74	463340	16.0
